live_service,games,mean_average_players,median_average_players,mean_peak_players,mean_retention
Traditional,12,75715.11083333334,62606.535,151148.75,0.5073607299620913
Live service,8,281740.41375,127923.61499999999,524219.125,0.5412876245760659
